Year	DJIA Average Close
1972	950.11697211
1973	924.06968254
1974	759.12936759
1975	802.88857708
1976	975.20098814
1977	894.32861111
1978	821.13357143
1979	844.39600791
1980	891.12422925
1981	932.94660079
1982	884.52833992
1983	1190.7803953
1984	1178.5500395
1985	1327.9942063
1986	1793.1040316
1987	2277.5336364
1988	2061.4758893
1989	2510.335754
1990	2679.4525296
1991	2929.0362055
1992	3284.0775591
1993	3524.9177075
1994	3794.2219048
1995	4494.2762302
1996	5739.6262992
1997	7447.0328458
1998	8630.7401984
1999	10481.212341
2000	10729.337262
2001	10208.627661
2002	9213.4165873
2003	9006.5038095
2004	10315.492381
2005	10546.195794
2006	11409.518486
2007	13178.26259
2008	11243.752292
2009	8886.089881
2010	10668.594087
2011	11958.352816
2012	12964.780361
2013	15009.75996
2014	17823.07
2015	17425.03
